Run!	Spring!
You're all they have.	Ni är allt de har.
You're all they have.	Ni är allt som de har.
You're all very calm.	Ni är alla väldigt lugna.
You're almost thirty.	Du är nästa trettio.
You're almost thirty.	Ni är nästan trettio.
You're an hour early.	Du är en timme tidig.
You're an hour early.	Ni är en timme tidiga.
You're disrespectful.	Du är ohövlig.
You're disrespectful.	Du är respektlös.
You're irresponsible.	Du är oansvarig.
You're irresponsible.	Ni är oansvariga.
You're not a suspect.	Du är inte misstänkt.
You're not in charge.	Det är inte du som bestämmer.
You're our only hope.	Du är vårt enda hopp.
You're overemotional.	Du är överkänslig.
You're overemotional.	Ni är överkänsliga.
You're really gifted.	Du har verkligen talang.
You're really gifted.	Ni har verkligen talang.
You're single, right?	Du är singel, eller hur?
You're so good at it.	Du är så bra på det.
You're so good at it.	Ni är så bra på det.
You're too laid back.	Du är för lättsinnig.
You're unpredictable.	Du är oberäknelig.
You're unpredictable.	Ni är oberäkneliga.
You're very flexible.	Du är väldigt flexibel.
You're very flexible.	Du är väldigt vig.
You've done it right.	Du har gjort rätt.
You've done it right.	Ni har gjort rätt.
Your dog bit my hand.	Din hund bet mig i handen.
Your son is an angel.	Din son är en ängel.
All the boys ran away.	Alla pojkarna sprang iväg.
Am I talking too fast?	Talar jag för snabbt?
Am I talking too fast?	Pratar jag för snabbt?
Anything will be fine.	Vad som helst blir bra.
Are the muffins ready?	Är muffinsen färdiga?
Are there any bananas?	Finns det några bananer?
Are those my earrings?	Är det där mina örhängen?
Are you a real doctor?	Är du en riktig läkare?
Are you enjoying this?	Njuter du av det här?
Are you enjoying this?	Njuter du av detta?
Are you enjoying this?	Njuter ni av det här?
Are you enjoying this?	Njuter ni av detta?
Are you enjoying this?	Är du road av det här?
Are you enjoying this?	Är du road av detta?
Are you enjoying this?	Är ni roade av det här?
Are you enjoying this?	Är ni roade av detta?
Are you expecting Tom?	Väntar du på Tom?
Are you hitting on me?	Stöter du på mig?
Are you hungry at all?	Är du hungrig över huvud taget?
Are you still at home?	Är du fortfarande hemma?
Are you still at home?	Är ni fortfarande hemma?
Are you still married?	Är du fortfarande gift?
Are you still married?	Är ni fortfarande gifta?
Are you two musicians?	Är ni två musiker?
Bananas are delicious.	Bananer är goda.
Can you stay a minute?	Kan du stanna en minut?
Can't you move faster?	Kan du inte röra dig fortare?
Cats don't like water.	Katter tycker inte om vatten.
Could I have a tissue?	Skulle jag kunna få en servett?
Did somebody get hurt?	Skadades någon?
Did you buy Tom a dog?	Köpte du Tom en hund?
Did you buy Tom a dog?	Köpte ni Tom en hund?
Did you buy Tom a dog?	Köpte du en hund till Tom?
Did you buy Tom a dog?	Köpte ni en hund till Tom?
Did you buy a new car?	Köpte du en ny bil?
Did you buy a new car?	Köpte ni en ny bil?
Did you come by train?	Kom du med tåget?
Did you eat breakfast?	Åt du frukost?
Did you eat breakfast?	Åt ni frukost?
Did you ever call Tom?	Ringde du någonsin Tom?
Did you get the check?	Fick du checken?
Did you get the check?	Fick ni checken?
Did you know Tom well?	Kände du Tom väl?
Did you know Tom well?	Kände ni Tom väl?
Do you believe me now?	Tror du på mig nu?
Do you believe me now?	Tror ni på mig nu?
Do you ever get dizzy?	Blir du någonsin snurrig?
Do you fly frequently?	Flyger du ofta?
Do you fly frequently?	Flyger ni ofta?
Do you have to go now?	Måste du gå nu?
Do you have to go now?	Måste ni gå nu?
Do you have to go now?	Måste ni åka nu?
Do you have to go now?	Måste du åka nu?
Do you like anchovies?	Tycker du om ansjovis?
Do you like sweet tea?	Gillar du sött te?
Do you like this city?	Tycker du om den här staden?
Do you like to travel?	Tycker du om att resa?
Do you really mean it?	Menar du det på riktigt?
Do you really mean it?	Jaså, menar du det?
Do you speak Japanese?	Talar du japanska?
Do you still love him?	Älskar du honom fortfarande?
Do you think I'm ugly?	Tycker du att jag är ful?
Do you think I'm ugly?	Tycker ni att jag är ful?
Do you use aftershave?	Använder du aftershave?
Do you use aftershave?	Använder ni aftershave?
Do you use aftershave?	Använder du rakvatten?
Do you want some beer?	Vill du ha lite öl?
Does it really matter?	Spelar det verkligen någon roll?
Does she speak French?	Talar hon franska?
Don't even talk to me.	Prata inte ens med mig.
Don't even talk to me.	Tala inte ens med mig.
Don't expect overtime.	Förvänta dig inte övertid.
Don't forget to floss.	Glöm inte att använda tandtråd.
Don't forget your bag.	Glöm inte din väska.
Don't give up halfway.	Ge inte upp halvvägs.
Don't go near the dog.	Gå inte nära hunden.
Don't let Tom see you.	Låt inte Tom se dig.
Don't let Tom see you.	Låt inte Tom se er.
Don't look so shocked.	Se inte så chockad ut.
Don't make me do this.	Tvinga mig inte att göra detta.
Don't make me do this.	Tvinga mig inte att göra det här.
Don't make noise here.	För inte oväsen här.
Don't open the window.	Öppna inte fönstret.
Don't point at others.	Peka inte på andra.
Don't respond to that.	Svara inte på det.
Don't stare at people.	Stirra inte på folk.
Don't waste your time.	Ödsla inte din tid.
Don't waste your time.	Ödsla inte er tid.
Don't waste your time.	Slösa inte bort er tid.
Don't waste your time.	Slösa inte bort din tid.
Don't waste your time.	Maska inte.
Double-click the icon.	Dubbelklicka på ikonen.
Eat whatever you like.	Ät vad du vill.
Eat whatever you like.	Ät vad ni vill.
Eat whatever you like.	Ät vadhelst du vill.
Eat whatever you like.	Ät vadhelst ni vill.
Europe is a continent.	Europa är en kontinent.
Everything went black.	Allt blev svart.
Everything went black.	Allting blev svart.
Everything's changing.	Allt förändras.
Fill this out, please.	Fyll i den här, tack.
Fill this out, please.	Fyll i denna, tack.
Find out where Tom is.	Ta reda på var Tom är.
Fortune smiled on him.	Lyckan log mot honom.
Fur coats are on sale.	Det är rea på pälskappor.
Give me a few minutes.	Ge mig några minuter.
Give me that envelope.	Ge mig det där kuvertet.
Give me three minutes.	Ge mig tre minuter.
Give us three minutes.	Ge oss tre minuter.
Happy Valentine's Day.	Glad alla hjärtans dag.
Have they arrived yet?	Har de kommit än?
Have you been smoking?	Har du rökt?
Have you seen Tom yet?	Har du sett Tom än?
Have you seen Tom yet?	Har ni sett Tom än?
He admired my new car.	Han beundrade min nya bil.
He always takes notes.	Han gör alltid anteckningar.
He asked me who I was.	Han frågade mig vem jag var.
He became a policeman.	Han blev polis.
He came late as usual.	Han kom för sent som vanligt.
He gave me an example.	Han gav mig ett exempel.
He has a lot of books.	Han har en massa böcker.
He has a lot of books.	Han har många böcker.
He has a lot of books.	Han har massor av böcker.
He is always punctual.	Han är alltid punktlig.
He is good at singing.	Han är bra på att sjunga.
He is just an amateur.	Han är bara en amatör.
He is not always late.	Han är inte alltid sen.
He is not kind to her.	Han är inte snäll mot henne.
He is washing the car.	Han tvättar bilen.
He is wearing glasses.	Han har på sig glasögon.
He likes soccer a lot.	Han tycker mycket om fotboll.
He married an actress.	Han gifte sig med en skådespelerska.
He robbed an old lady.	Han rånade en gammal dam.
He sat reading a book.	Han satt och läste en bok.
He turned over in bed.	Han vände sig i sängen.
He was excommunicated.	Han blev exkommunicerad.
He's a real gentleman.	Han är en riktig gentleman.
He's brave and honest.	Han är modig och ärlig.
He's getting up early.	Han går upp tidigt.
He's getting up early.	Han stiger upp tidigt.
He's getting up early.	Han kliver upp tidigt.
He's not always happy.	Han är inte alltid glad.
His story sounds true.	Han berättelse låter sann.
His story sounds true.	Hans historia låter sann.
How busy could Tom be?	Hur upptagen kan Tom vara?
How can you know that?	Hur vet du det?
How can you know that?	Hur vet ni det?
How could you do that?	Hur gjorde du det?
How could you do that?	Hur gjorde ni det?
How did Tom know that?	Hur visste Tom det?
How did Tom meet Mary?	Hur träffade Tom Mary?
How did you get there?	Hur kom du dit?
How did you get there?	Hur tog du dig dit?
How did you get those?	Hur fick du tag på dem där?
How do you milk a cow?	Hur mjölkar man en ko?
How long was Tom here?	Hur länge var Tom här?
How many did you take?	Hur många tog du?
How much will it cost?	Vad kostar det?
How old is your uncle?	Hur gammal är din morbror?
I am harvesting wheat.	Jag skördar vete.
I appreciate the help.	Jag uppskattar hjälpen.
I assumed it was free.	Jag antog att det var gratis.
I assumed it was free.	Jag antog att den var gratis.
I became Tom's friend.	Jag blev Toms vän.
I borrowed Tom's bike.	Jag lånade Toms cykel.
I bought it yesterday.	Jag köpte den i går.
I came back home late.	Jag kom hem sent.
I came here yesterday.	Jag kom hit i går.
I can't eat chocolate.	Jag kan inte äta choklad.
I can't find my shoes.	Jag hittar inte mina skor.
I can't hear anything.	Jag hör ingenting.
I can't open this jar.	Jag får inte upp den här burken.
I come here every day.	Jag kommer hit varje dag.
I could make her talk.	Jag skulle kunna få henne att prata.
I couldn't lie to you.	Jag kunde inte ljuga för dig.
I couldn't lie to you.	Jag kunde inte ljuga för er.
I couldn't rent a car.	Jag fick inte hyra en bil.
I didn't ask for this.	Jag bad inte om detta.
I didn't ask for this.	Jag bad inte om det här.
I didn't get his joke.	Jag förstod inte hans skämt.
I didn't go to school.	Jag gick inte till skolan.
I didn't move a thing.	Jag flyttade inte på någonting.
I didn't say I agreed.	Jag sade inte att jag höll med.
I didn't say anything.	Jag sa inget.
I didn't say anything.	Jag sa ingenting.
I didn't want to brag.	Jag ville inte skryta.
I dislike being alone.	Jag ogillar att vara ensam.
I don't get much mail.	Jag får inte så mycket post.
I don't know who I am.	Jag vet inte vem jag är.
I don't like anything.	Jag gillar ingenting.
I don't need any help.	Jag behöver ingen hjälp.
I don't speak Swedish.	Jag pratar inte svenska.
I don't speak Swedish.	Jag talar inte svenska.
I don't wanna go back.	Jag vill inte tillbaka.
I don't want any wine.	Jag vill inte ha något vin.
I don't want you here.	Jag vill inte ha dig här.
I don't want you here.	Jag vill inte ha er här.
I found out something.	Jag konstaterade en sak.
I found out something.	Jag fick reda på någonting.
I found out something.	Jag kom underfund med någonting.
I get motion sickness.	Jag får åksjuka.
I go there every year.	Jag åker dit varje år.
I got wet to the skin.	Jag blev blöt ända in på skinnet.
I had to do something.	Jag var tvungen att göra någonting.
I have a crush on you.	Jag är kär i dig.
I have a crush on you.	Jag svärmar för dig.
I have a few thoughts.	Jag har några funderingar.
I have a few thoughts.	Jag har några tankar.
I have a few thoughts.	Jag har några idéer.
I have a half brother.	Jag har en halvbror.
I have an explanation.	Jag har en förklaring.
I have another option.	Jag har ett till alternativ.
I have another option.	Jag har ett alternativ till.
I have another option.	Jag har ett annat alternativ.
I have borrowed a car.	Jag har lånat en bil.
I have lost my wallet.	Jag har tappat bort min plånbok.
I have no money on me.	Jag har inga pengar på mig.
I have three children.	Jag har tre barn.
I have to go to sleep.	Jag måste gå och sova.
I haven't decided yet.	Jag har inte bestämt mig än.
I just got your email.	Jag fick precis ditt mejl.
I just got your email.	Jag fick precis ditt mail.
I just stubbed my toe.	Jag stötte precis min tå.
I just stubbed my toe.	Jag stötte precis tån.
I knew I wasn't crazy.	Jag visste att jag inte var galen.
I knew everyone there.	Jag kände alla där.
I knew what you meant.	Jag visste vad du menade.
I knew what you meant.	Jag visste vad ni menade.
I know Tom personally.	Jag känner Tom personligen.
I know how old Tom is.	Jag vet hur gammal Tom är.
I know how this works.	Jag vet hur detta fungerar.
I know how this works.	Jag vet hur det här funkar.
I like how Tom thinks.	Jag gillar hur Tom tänker.
I like how Tom thinks.	Jag tycker om hur Tom tänker.
I like playing tennis.	Jag tycker om att spela tennis.
I like to be prepared.	Jag gillar att vara förberedd.
I like to play tennis.	Jag tycker om att spela tennis.
I love playing Chopin.	Jag älskar att spela Chopin.
I love talking to you.	Jag älskar att prata med dig.
I love talking to you.	Jag älskar att prata med er.
I misspelled the word.	Jag stavade ordet fel.
I misspelled the word.	Jag stavade fel på ordet.
I must be leaving now.	Jag måste bege mig nu.
I must be leaving now.	Jag måste ge mig av nu.
I must do my homework.	Jag måste göra min läxa.
I must have dreamt it.	Jag måste ha drömt det.
I need it by tomorrow.	Jag behöver den i morgon.
I need it by tomorrow.	Jag behöver den senast i morgon.
I need it by tomorrow.	Jag behöver den till i morgon.
I need to make my bed.	Jag måste bädda min säng.
I need you to go home.	Jag behöver att du går hem.
I never found out why.	Jag fick aldrig veta varför.
I never went to sleep.	Jag gick aldrig och la mig.
I never went to sleep.	Jag gick aldrig och lade mig.
I practiced every day.	Jag övade varje dag.
I put Tom on the list.	Jag satte Tom på listan.
I remember that night.	Jag kommer ihåg den kvällen.
I say it all the time.	Jag säger det hela tiden.
I sneeze all the time.	Jag nyser hela tiden.
I still don't like it.	Jag gillar det fortfarande inte.
I still don't like it.	Jag tycker fortfarande inte om det.
I tell Tom everything.	Jag berättar allt för Tom.
I think Mary likes me.	Jag tror att Mary tycker om mig.
I think Mary likes me.	Jag tror att Mary gillar mig.
I think he won't come.	Jag tror inte att han kommer.
I think that's a hoax.	Jag tror att det är en bluff.
I thought I heard you.	Jag trodde att jag hörde dig.
I thought I was alone.	Jag trodde att jag var ensam.
I thought I was happy.	Jag trodde att jag var lyckligt.
I thought I was happy.	Jag tyckte att jag var lycklig.
I thought it was good.	Jag tyckte att det var gott.
I thought it was good.	Jag tyckte att det var bra.
I thought you'd agree.	Jag trodde att du skulle hålla med.
I used to play tennis.	Jag brukade spela tennis.
I want Tom to go home.	Jag vill att Tom går hem.
I want Tom to go home.	Jag vill att Tom åker hem.
I want something else.	Jag vill ha något annat.
I want to believe you.	Jag vill tro dig.
I want to believe you.	Jag vill tro er.
I want to go back now.	Jag vill tillbaka nu.
I want to go with you.	Jag vill följa med dig.
I wasn't in any hurry.	Jag hade inte bråttom.
I wasn't overly tired.	Jag var inte alltför trött.
I will need your help.	Jag kommer att behöva din hjälp.
I will write about it.	Jag ska skriva om det.
I will write about it.	Jag tänker skriva om det.
I wish I'd called Tom.	Jag önskar att jag ringt Tom.
I wish I'd called Tom.	Jag önskar att jag hade ringt Tom.
I wish you'd call Tom.	Jag önskar att du skulle ringa Tom.
I wish you'd call Tom.	Jag önskar att du ringde Tom.
I won't let it happen.	Jag kommer inte att låta det hända.
I won't press charges.	Jag kommer inte att göra någon polisanmälan.
I won't stay with you.	Jag kommer inte stanna hos dig.
I wonder why Tom left.	Jag undrar varför Tom stack.
I wonder why Tom left.	Jag undrar varför Tom drog.
I wonder why Tom left.	Jag undrar varför Tom åkte.
I wonder why Tom left.	Jag undrar varför Tom gick.
I work at the embassy.	Jag arbetar på ambassaden.
I would've sent roses.	Jag skulle ha skickat rosor.
I wouldn't lie to you.	Jag skulle inte ljuga för dig.
I wouldn't lie to you.	Jag skulle inte ljuga för er.
I wouldn't touch that.	Jag skulle inte ta i den där.
I'd be willing to pay.	Jag skulle gå med på att betala.
I'd be willing to pay.	Jag skulle vara villig att betala.
I'd be willing to pay.	Jag skulle vara beredd att betala.
I'd better get moving.	Det är bäst att jag rör på mig.
I'd do the same thing.	Jag skulle göra likadant.
I'd do the same thing.	Jag skulle göra samma sak.
I'd double-check that.	Jag skulle dubbelkolla det.
I'd double-check that.	Jag skulle dubbelkontrollera det.
I'd feel the same way.	Jag skulle känna likadant.
I'd like to cooperate.	Jag skulle vilja samarbeta.
I'd like to go inside.	Jag skulle vilja gå in.
I'd like to hear that.	Det skulle jag vilja höra.
I'd never dream of it.	Jag skulle aldrig drömma om det.
I'd rather be fishing.	Jag skulle hellre vara och fiska.
I'd rather live alone.	Jag bor hellre ensam.
I'd say you earned it.	Jag skulle säga att du förtjänade det.
I'd say you earned it.	Jag skulle säga att du gjorde dig förtjänt av det.
I'd still like to try.	Jag skulle fortfarande vilja försöka.
I'd still like to try.	Jag skulle fortfarande vilja pröva.
I'll call him tonight.	Jag ringer honom ikväll.
I'll call him tonight.	Jag ringer honom i kväll.
I'll get that for you.	Jag hämtar den åt dig.
I'll get that for you.	Jag hämtar det åt dig.
I'll get to the point.	Jag kommer till saken.
I'll go if you insist.	Jag går om du insisterar.
I'll go wash my hands.	Jag går och tvättar händerna.
I'll make a few calls.	Jag ska ringa några samtal.
I'll never understand.	Jag kommer aldrig att förstå.
I'll think about that.	Jag ska tänka på det.
I'll try to reach Tom.	Jag försöker att få tag i Tom.
I'll try to reach Tom.	Jag försöker att nå Tom.
I'm a little shook up.	Jag är lite uppskakad.
I'm afraid of heights.	Jag är rädd för höjder.
I'm afraid of nothing.	Jag är inte rädd för någonting.
I'm afraid of spiders.	Jag är rädd för spindlar.
I'm afraid to go home.	Jag är rädd för att gå hem.
I'm afraid to go home.	Jag är rädd för att åka hem.
I'm almost sure of it.	Jag är nästan säker på det.
I'm at the north gate.	Jag är vid den norra porten.
I'm at the north gate.	Jag är vid den norra utgången.
I'm at the north gate.	Jag är vid den norra grinden.
I'm bored with Boston.	Jag är trött på Boston.
I'm calling Tom again.	Jag ringer Tom igen.
I'm doing my homework.	Jag gör mina läxor.
I'm glad I caught you.	Jag är glad att jag fångade dig.
I'm glad I was nearby.	Jag är glad att jag var i närheten.
I'm glad Tom has gone.	Jag är glad att Tom är borta.
I'm glad we found you.	Jag är glad att vi hittade dig.
I'm glad we found you.	Jag är glad att vi hittade er.
I'm glad you like Tom.	Jag är glad att du gillar Tom.
I'm glad you like Tom.	Det gläder mig att du tycker om Tom.
I'm glad you remember.	Det gläder mig att du kommer ihåg.
I'm glad you remember.	Det gläder mig att du minns.
I'm glad you remember.	Det gläder mig att ni minns.
I'm glad you remember.	Det gläder mig att ni kommer ihåg.
I'm glad you're early.	Jag är glad att du är tidig.
I'm glad you're early.	Jag är glad att ni är tidiga.
I'm going back to bed.	Jag går tillbaka till sängen.
I'm going back to bed.	Jag går tillbaka till sängs.
I'm here to apologize.	Jag är här för att be om ursäkt.
I'm just being honest.	Jag är bara ärlig.
I'm just feeling down.	Jag känner mig bara nere.
I'm off work tomorrow.	Jag är ledig från arbetet i morgon.
I'm sure it's nothing.	Jag är säker på att det inte är någonting.
I've been a lot worse.	Jag har varit sämre.
I've been preoccupied.	Jag har varit upptagen.
I've been rather busy.	Jag har varit ganska upptagen.
I've been there a lot.	Jag har varit där mycket.
I've got plenty to do.	Jag har massor att göra.
I've got plenty to do.	Jag har massvis med saker att göra.
I've got some cookies.	Jag har några kakor.
I've just gotten home.	Jag har precis kommit hem.
I've seen this before.	Jag har sett det här förut.
I've seen this before.	Jag har sett detta förut.
I've stopped counting.	Jag har slutat räkna.
I've stopped counting.	Jag har slutat att räkna.
Is that your own idea?	Är det din egen idé?
Isn't that right, Tom?	Stämmer inte det, Tom?
Isn't that right, Tom?	Eller hur, Tom?
Isn't that suspicious?	Är inte det misstänksamt?
Isn't the answer easy?	Är inte svaret lätt?
It made no difference.	Det gjorde ingen skillnad.
It reminded me of you.	Det påminde mig om dig.
It reminded me of you.	Det påminde mig om er.
It sure is convenient.	Det är helt klart lämpligt.
It was understandable.	Det var förståeligt.
It was understandable.	Det var begripligt.
It was very difficult.	Det var väldigt svårt.
It wasn't my decision.	Det var inte mitt beslut.
It wasn't sensational.	Det var inte sensationellt.
It wasn't sensational.	Det var inte uppseendeväckande.
It wasn't sensational.	Det var inte fantastiskt.
It's Monday, you know.	Det är måndag, du vet.
It's a quarter to two.	Den är kvart i två.
It's absolutely wrong.	Det är fullständigt fel.
It's an impossibility.	Det är en omöjlighet.
It's been interesting.	Det har varit intressant.
It's for the children.	Det är för barnen.
It's for the children.	Det är till barnen.
It's my job, you know.	Det är mitt jobb, du vet.
It's not an emergency.	Det är inte akut.
It's nothing personal.	Det är ingenting personligt.
It's probably haunted.	Det är troligen hemsökt.
It's probably haunted.	Det är troligtvis hemsökt.
It's probably haunted.	Det är förmodligen hemsökt.
It's probably haunted.	Det är antagligen hemsökt.
It's probably haunted.	Det spökar troligtvis där.
It's really beautiful.	Det är verkligen vackert.
It's really beautiful.	Den är verkligen vacker.
It's too overwhelming.	Det är för överväldigande.
It's very interesting.	Det är väldigt intressant.
It's your choice, Tom.	Det är ditt val, Tom.
Jesus was a carpenter.	Jesus var snickare.
Just a moment, please.	Ett ögonblick.
Just breathe normally.	Andas bara som vanligt.
Just don't go outside.	Gå inte ut bara.
Just give us a minute.	Ge oss en minut bara.
Leave Tom out of this.	Håll Tom utanför detta.
Leave Tom out of this.	Håll Tom utanför det här.
Leave my family alone.	Lämna min familj ifred.
Let in some fresh air.	Släpp in lite frisk luft.
Let me ask a question.	Låt mig fråga en fråga.
Let me ask a question.	Låt mig ställa en fråga.
Let me call my lawyer.	Låt mig ringa min advokat.
Let me handle Tom, OK?	Låt mig ta hand om Tom, okej?
Let me think a minute.	Låt mig tänka en minut.
Let me think a minute.	Låt mig fundera en minut.
Love is for teenagers.	Kärlek är för tonåringar.
Mark the right answer.	Markera rätt svar.
Mary has many friends.	Mary har många vänner.
Mary is a gold digger.	Mary är en gold-digger.
May comes after April.	Maj kommer efter april.
My cat died yesterday.	Min katt dog i går.
My mother loves music.	Min mor älskar musik.
My room is very small.	Mitt rum är mycket litet.
No one would hurt Tom.	Ingen skulle skada Tom.
No one would've cared.	Ingen skulle ha brytt sig.
Nobody here eats meat.	Ingen här äter kött.
Nobody's volunteering.	Ingen anmäler sig frivilligt.
Nobody's volunteering.	Ingen ställer upp frivilligt.
Not all birds can fly.	Inte alla fåglar kan flyga.
Not all birds can fly.	Det är inte alla fåglar som kan flyga.
Nothing happened here.	Ingenting hände här.
Now, why are you here?	Varför är du här?
Optimists live longer.	Optimister lever längre.
Please deal the cards.	Var snäll och dela ut korten.
Please iron the shirt.	Var snäll och stryk skjortan.
Put away your bicycle.	Ställ undan cykeln.
Set your mind at ease.	Var inte orolig.
She dashed downstairs.	Hon skyndade ner för trapporna.
She followed him home.	Hon följde honom hem.
She has a pretty doll.	Hon har en fin docka.
She ironed his shirts.	Hon strök hans skjortor.
She is a good swimmer.	Hon är en god simmare.
She is as tall as you.	Hon är lika lång som du.
She needs to help him.	Hon måste hjälpa honom.
Shouldn't you go home?	Borde inte du gå hem?
Shouldn't you go home?	Borde inte ni gå hem?
Shouldn't you go home?	Borde inte du åka hem?
Shouldn't you go home?	Borde inte ni åka hem?
So where're you going?	Så vart ska ni?
So where're you going?	Så vart ska du?
So where're you going?	Så vart ska ni åka?
So where're you going?	Så vart ska du åka?
So where're you going?	Så vart ska du gå?
So where're you going?	Så vart ska ni gå?
Someday I'll beat you.	Förr eller senare kommer jag att slå dig.
Someone lost a wallet.	Någon tappade sin plånbok.
Someone lost a wallet.	Någon tappade en plånbok.
Stop being so curious.	Sluta vara så nyfiken.
Stop your bellyaching.	Sluta gnäll!
Stop your bellyaching.	Sluta jämra dig!
Study these sentences.	Studera de här meningarna.
Take good care of Tom.	Ta väl hand om Tom.
Tell me what Tom said.	Berätta för mig vad Tom sa.
Tell me what to think.	Säg mig vad du tycker.
Tell me what to think.	Säg mig vad jag ska tänka.
Thanks for everything.	Tack för allt.
Thanks for your reply.	Tack för ditt svar.
Thanks for your reply.	Tack för ert svar.
That man is a soldier.	Den där mannen är en soldat.
That serves him right.	Det är rätt åt honom.
That serves you right.	Rätt åt dig!
That was Tom's mother.	Det var Toms mamma.
That was Tom's mother.	Det där var Toms mamma.
That'll make me happy.	Det kommer att göra mig lycklig.
That's just an excuse.	Det är bara en ursäkt.
That's part of my job.	Det är en del av mitt arbete.
That's probably safer.	Det är förmodligen säkrare.
That's their business.	Det är deras angelägenhet.
The baby smiled at me.	Spädbarnet log mot mig.
The birds are singing.	Fåglarna sjunger.
The cat is on the mat.	Katten är på mattan.
The ice is very thick.	Isen är väldigt tjock.
The pie was delicious.	Pajen smakade utsökt.
The pond has dried up.	Dammen har torkat ut.
The soldiers are dead.	Soldaterna är döda.
The town was deserted.	Staden var öde.
The town was deserted.	Staden låg öde.
The wind blew all day.	Vinden blåste hela dagen.
The wind blew all day.	Det blåste hela dagen.
The women are working.	Kvinnorna arbetar.
There's a couple here.	Det är ett par här.
There's a couple here.	Det finns ett par här.
They couldn't help us.	De kunde inte hjälpa oss.
They started shooting.	De började skjuta.
They talked all night.	De pratade hela natten.
They won't be in time.	De kommer inte att komma i tid.
They're all different.	De är alla olika.
They're both laughing.	Båda skrattar.
They're both laughing.	Bägge skrattar.
They're heavily armed.	De är tungt beväpnade.
They're not prisoners.	De är inte fångar.
This is a catastrophe.	Det här är en katastrof.
This is a catastrophe.	Detta är en katastrof.
This is a dirty movie.	Det här är en snuskig film.
This is an apple, too.	Det här är också ett äpple.
This is an apple, too.	Detta är också ett äpple.
This is an old letter.	Det här är ett gammalt brev.
This is an old letter.	Detta är ett gammalt brev.
This is disappointing.	Det här är en besvikelse.
This is not a mistake.	Det här är inte något misstag.
This is not a mistake.	Detta är inte något misstag.
This is not a mistake.	Detta är inget misstag.
This wine tastes good.	Det här vinet smakar gott.
This wine tastes good.	Det här vinet är gott.
This won't hurt a bit.	Det här kommer inte att göra ont alls.
Tom asked for my help.	Tom bad mig om hjälp.
Tom ate a quick lunch.	Tom åt en snabb lunch.
Tom ate a quick lunch.	Tom åt en snabblunch.
Tom became very upset.	Tom blev väldigt upprörd.
Tom can't afford both.	Tom har inte råd med båda.
Tom can't afford both.	Tom har inte råd med bägge.
Tom can't be replaced.	Tom kan inte ersättas.
Tom can't handle this.	Tom kan inte hantera det här.
Tom can't stand still.	Tom kan inte stå still.
Tom chased after Mary.	Tom sprang efter Mary.
Tom could be anywhere.	Tom skulle kunna vara var som helst.
Tom could hardly walk.	Tom kunde knappt gå.
Tom couldn't stand it.	Tom stod inte ut med det.
Tom did it, didn't he?	Tom gjorde det, eller hur?
Tom did not look back.	Tom såg sig inte om.
Tom did not look back.	Tom såg inte tillbaka.
Tom did not look back.	Tom tänkte inte tillbaka.
Tom did not look back.	Tom drog sig inte ur.
Tom did not look back.	Tom backade inte ut.
Tom doesn't like beer.	Tom tycker inte om öl.
Tom doesn't like beer.	Tom gillar inte öl.
Tom doesn't live here.	Tom bor inte här.
Tom doesn't look busy.	Tom ser inte upptagen ut.
Tom doesn't seem busy.	Tom verkar inte upptagen.
Tom got in Mary's way.	Tom kom i vägen för Mary.
Tom got off his horse.	Tom hoppade av sin häst.
Tom grew up on a farm.	Tom växte upp på en bondgård.
Tom handed Mary a cup.	Tom gav Mary en kopp.
Tom has a reservation.	Tom har en bokning.
Tom hung up the phone.	Tom lade på telefonen.
Tom hung up the phone.	Tom la på telefonen.
Tom is Mary's protege.	Tom är Marys skyddsling.
Tom is Mary's protege.	Tom är Marys protegé.
Tom is a car salesman.	Tom är bilförsäljare.
Tom is a draft dodger.	Tom är en desertör.
Tom is a draft dodger.	Tom är en värnpliktsvägrare.
Tom is a faith healer.	Tom är en helbrägdagörare.
Tom is a good husband.	Tom är en bra make.
Tom is a househusband.	Tom är en hemmaman.
Tom is a little crazy.	Tom är lite galen.
Tom is a lousy dancer.	Tom är en urusel dansare.
Tom is at the airport.	Tom är på flygplatsen.
Tom is busy, isn't he?	Tom är upptagen, eller hur?
Tom isn't Mary's type.	Tom är inte Marys typ.
Tom isn't a good cook.	Tom är inte en bra kock.
Tom isn't busy either.	Tom är inte heller upptagen.
Tom isn't busy either.	Tom är inte upptagen heller.
Tom isn't cooperating.	Tom samarbetar inte.
Tom isn't helping any.	Tom hjälper inte till något.
Tom isn't really sure.	Tom är inte riktigt säker.
Tom isn't that strong.	Tom är inte så stark.
Tom isn't very bright.	Tom är inget ljushuvud.
Tom isn't very bright.	Tom är inget större ljus.
Tom killed the spider.	Tom dödade spindeln.
Tom knew I was coming.	Tom visste att jag var på väg.
Tom knows I'm waiting.	Tom vet att jag väntar.
Tom knows some French.	Tom kan lite franska.
Tom knows that's true.	Tom vet att det är sant.
Tom knows you're here.	Tom vet att du är här.
Tom knows you're here.	Tom vet att ni är här.
Tom left the water on.	Tom lämnade vattnet på.
Tom looks worried now.	Tom ser orolig ut nu.
Tom lowered his voice.	Tom sänkte rösten.
Tom made many changes.	Tom gjorde många ändringar.
Tom majored in French.	Toms huvudämne var franska.
Tom must've had a key.	Tom måste ha haft en nyckel.
Tom needs to buy time.	Tom behöver vinna tid.
